# 2017-02-28 19:03:39.438
#
# origin = GSFC Planetary Spectrum Generator, Villanueva et al.
#
       wave             fluxd
----------- -----------------
        5.0               0.0
       5.05               0.0
     5.1005 0.000348974563813
   5.151505 0.000153525749949
 5.20302005 0.000123176401027
5.255050251 4.13388985022e-05
5.307600753 0.000129439103437
5.360676761 7.24172101207e-05
5.414283528 8.29205338622e-05
5.468426363 5.36936741914e-05
5.523110627 5.16486644073e-05
5.578341733 0.000156601407515
5.634125151 0.000645960660558
5.690466402 0.000153755144841
5.747371066 0.000826571620297
5.804844777 0.000551930117476
5.862893225  0.00303220426076
5.921522157  0.00230762555227
5.980737378  0.00176233766376
6.040544752  0.00826527405194
  6.1009502  0.00409301821596
6.161959702  0.00774957144564
6.223579299 0.000647044396069
6.285815092 0.000313404346044
6.348673243  0.00969775277031
6.412159975  0.00934582981714
6.476281575      0.0151095957
6.541044391  0.00404154176626
6.606454834  0.00599219183629
6.672519383   0.0111192869716
6.739244577  0.00199736797077
6.806637022  0.00487519047662
6.874703393  0.00677489460549
6.943450427   0.0015384503589
7.012884931  0.00224452994427
 7.08301378 0.000404511460179
7.153843918 0.000637232843509
7.225382357 0.000193757041425
7.297636181 0.000286971868853
7.370612543 6.00756291456e-05
7.444318668 0.000114271991146
7.518761855 0.000121430587334
7.593949473 0.000145213110601
7.669888968 0.000225302695317
7.746587858  9.7813314632e-05
7.824053736 9.40830243498e-05
7.902294274 7.22834962891e-05
7.981317216 7.27199760851e-06
8.061130388 3.97729770069e-06
8.141741692 1.41908577259e-06
8.223159109 2.15687967667e-06
  8.3053907 8.79003129511e-07
8.388444607 2.49311153145e-07
8.472329053 1.73651636483e-07
8.557052344 9.68716223269e-07
8.642622867 9.53565707146e-08
8.729049096 9.26426741844e-08
8.816339587 1.50488938896e-07
8.904502983 1.69348946828e-07
8.993548013 2.07930580913e-07
9.083483493 7.64471105576e-07
9.174318328 4.89889121203e-07
9.266061511 3.30421290738e-06
9.358722126 7.45229144605e-06
9.452309347 2.11415298574e-06
9.546832441 2.40628701719e-05
9.642300765 9.47362161549e-06
9.738723773 1.65409418833e-05
9.836111011 1.00763962549e-05
9.934472121 3.74777884368e-05
10.03381684 2.42990611864e-07
10.13415501  9.8254416081e-13
10.23549656 2.27225424383e-13
10.33785153 3.40017401663e-13
10.44123004 9.34919803029e-14
10.54564234 2.01922414827e-14
10.65109877 6.48685330767e-15
10.75760975 9.59770274961e-15
10.86518585               0.0
10.97383771               0.0
11.08357609               0.0
11.19441185               0.0
11.30635597               0.0
11.41941952               0.0
11.53361372               0.0
11.64894986               0.0
11.76543936               0.0
11.88309375               0.0
12.00192469               0.0
12.12194393               0.0
12.24316337               0.0
12.36559501 7.74747861963e-15
12.48925096  9.8182708523e-13
12.61414347 4.55821866693e-11
 12.7402849 5.28004046039e-10
12.86768775 1.70536452641e-08
12.99636463 1.88376749312e-07
13.12632827  6.8879602967e-07
13.25759156 3.59489084424e-06
13.39016747 1.12160452411e-05
13.52406915 9.29657835435e-06
13.65930984  5.6323782483e-05
13.79590294 3.84323561872e-06
13.93386197 1.19937761034e-05
