# 2017-02-28 19:03:39.626
#
# origin = GSFC Planetary Spectrum Generator, Villanueva et al.
#
       wave             fluxd
----------- -----------------
       1.66               0.0
1.660614815               0.0
1.661229857 3.21013114581e-09
1.661845128 9.12366591733e-09
1.662460626 6.45387482551e-06
1.663076352 8.58990241089e-13
1.663692306 5.31566513449e-09
1.664308489 1.35671075951e-09
1.664924899 2.36406404489e-08
1.665541538 2.61853174994e-05
1.666158405 4.98887092838e-06
1.666775501 4.69036645967e-07
1.667392825 1.13959370041e-08
1.668010378 1.11110502262e-08
 1.66862816 1.07342444023e-06
 1.66924617 2.83020840139e-09
1.669864409   9.508688009e-09
1.670482878 4.94344389047e-09
1.671101575 3.38866925438e-09
1.671720502 3.43758600573e-06
1.672339657 7.50841518015e-09
1.672959042  3.1344375559e-09
1.673578657 8.30236856211e-09
1.674198501 2.56327591611e-09
1.674818574 8.92933468654e-06
1.675438877 2.84598137842e-09
 1.67605941 5.75763603448e-09
1.676680173 3.22664125532e-09
1.677301166 4.02386571174e-09
1.677922388 8.38564193242e-06
1.678543841 7.85686086731e-09
1.679165524 5.33363637408e-09
1.679787437 5.43538479027e-09
1.680409581 1.37347704827e-09
1.681031955 5.04798467397e-06
1.681654559 8.07177410663e-09
1.682277394 5.92754443936e-08
 1.68290046 3.49665649138e-08
1.683523756 5.56419764197e-09
1.684147284 4.74226593954e-06
1.684771042 4.70796084888e-09
1.685395031 3.58307666165e-10
1.686019252 1.20745413323e-08
1.686643703 6.07880239643e-09
1.687268386 1.92800160456e-06
  1.6878933 2.90889007866e-09
1.688518446 1.24664761818e-08
1.689143823 2.01016950251e-09
1.689769432 5.28862964763e-09
1.690395272 5.27639013018e-10
1.691021345  8.4854079443e-07
1.691647649  1.9693154705e-09
1.692274185 6.21613741932e-10
1.692900953 2.66695089945e-09
1.693527954 1.78671725134e-10
1.694155186 9.68614169435e-08
1.694782651 1.74553504816e-09
1.695410348 1.47160722538e-09
1.696038278  3.1275653323e-10
