# 2017-02-28 19:03:39.686
#
# origin = GSFC Planetary Spectrum Generator, Villanueva et al.
#
        wave             fluxd
------------ -----------------
         0.7               0.0
       0.707               0.0
     0.71407               0.0
   0.7212107               0.0
 0.728422807               0.0
0.7357070351               0.0
0.7430641054               0.0
0.7504947465               0.0
0.7579996939               0.0
0.7655796909               0.0
0.7732354878               0.0
0.7809678427               0.0
0.7887775211 1.55050811876e-13
0.7966652963 1.24569398197e-13
0.8046319493               0.0
0.8126782688 6.95977251818e-15
0.8208050514 4.48689136584e-14
 0.829013102               0.0
 0.837303233               0.0
0.8456762653               0.0
 0.854133028 8.29981657418e-14
0.8626743582 2.16554339895e-14
0.8713011018               0.0
0.8800141128 2.68943064486e-14
 0.888814254 3.11697712658e-16
0.8977023965 5.13653421659e-10
0.9066794205 2.67755356275e-09
0.9157462147 2.02776118878e-09
0.9249036768  4.0789210619e-10
0.9341527136 1.45715557378e-07
0.9434942407 3.03640277602e-07
0.9529291831 2.61653072066e-07
 0.962458475 5.45623810671e-09
0.9720830597  3.4783970508e-09
0.9818038903 3.79224303733e-10
0.9916219292 9.31821753351e-15
 1.001538149 1.89312867122e-15
  1.01155353 1.14310625802e-09
 1.021669065  1.6442176045e-09
 1.031885756 1.07970350045e-08
 1.042204614 1.13584127008e-08
  1.05262666  3.8407873459e-11
 1.063152926 9.62507908794e-11
 1.073784456 4.02611319224e-11
   1.0845223 1.17718858012e-11
 1.095367523 2.89331618833e-09
 1.106321198 2.42537332253e-08
  1.11738441 7.06800584879e-08
 1.128558254 5.47158024987e-07
 1.139843837 1.18570160933e-06
 1.151242275  5.3167976163e-07
 1.162754698 2.09123835616e-08
 1.174382245 6.95910290036e-09
 1.186126067 4.22064122369e-10
 1.197987328 6.03427665996e-10
 1.209967201 6.39271806483e-10
 1.222066873 1.04902190587e-09
 1.234287542 3.15768364614e-10
 1.246630418 1.33018570352e-10
 1.259096722  6.1703700259e-14
 1.271687689 2.58122921375e-14
 1.284404566 5.71753096435e-11
 1.297248612 5.91744691604e-10
 1.310221098 4.31425549425e-10
 1.323323309 2.12081586322e-09
 1.336556542 2.27523701686e-08
 1.349922107 3.51192454496e-07
 1.363421328 6.10510346984e-05
 1.377055541 0.000132725621518
 1.390826097 0.000232514947828
 1.404734358 5.81122666481e-05
 1.418781701 9.77176489878e-06
 1.432969518 6.80528960304e-06
 1.447299214  7.1628804469e-06
 1.461772206  4.7630589204e-06
 1.476389928 1.42889879489e-06
 1.491153827 4.55232813863e-07
 1.506065365 3.71084943998e-07
 1.521126019 1.16841945895e-06
 1.536337279 5.61625188057e-07
 1.551700652 2.28401885952e-08
 1.567217659 1.49193915456e-08
 1.582889835 1.19194141694e-08
 1.598718733 5.96764975824e-09
 1.614705921 4.99856968371e-09
  1.63085298 3.20986648683e-09
  1.64716151 8.85158932969e-07
 1.663633125 1.95423463259e-06
 1.680269456 1.08872425418e-06
 1.697072151 3.77106182007e-08
 1.714042872 3.54309095064e-09
 1.731183301 7.81619714813e-09
 1.748495134 3.24592534612e-07
 1.765980085 5.73603151041e-07
 1.783639886  8.7642571444e-07
 1.801476285 7.59994998182e-07
 1.819491048 5.91567308586e-07
 1.837685958  9.6251758248e-06
 1.856062818  8.5984626674e-05
 1.874623446 8.32411092031e-05
 1.893369681 0.000156487251621
 1.912303377 0.000100085023607
 1.931426411 1.36638070794e-05
 1.950740675 6.44860330545e-06
 1.970248082 7.09712454318e-06
 1.989950563 4.17141311575e-06
 2.009850068 1.41148073762e-06
 2.029948569 6.87663974757e-07
 2.050248055 1.04970134285e-07
 2.070750535 1.86040886754e-08
 2.091458041 1.94161921174e-09
 2.112372621 8.05969721613e-10
 2.133496347 9.95384223929e-10
 2.154831311 1.95203272362e-09
 2.176379624 9.56512490577e-09
  2.19814342 2.51474482954e-08
 2.220124854  3.2824106977e-07
 2.242326103 6.90742824674e-07
 2.264749364  9.7849347536e-07
 2.287396858 1.01237938693e-06
 2.310270826 8.31766185825e-07
 2.333373534 4.78448030086e-07
  2.35670727 6.34838244442e-06
 2.380274343 6.97558869816e-06
 2.404077086 5.45169019688e-07
 2.428117857 3.45946200082e-07
 2.452399035 9.59476029288e-07
 2.476923026 7.35220194364e-07
 2.501692256 5.94734697835e-07
 2.526709179 1.02903864656e-06
  2.55197627 6.27057491111e-06
 2.577496033 8.28489715405e-05
 2.603270993   0.0011507754261
 2.629303703  0.00427077055964
  2.65559674  0.00446043566217
 2.682152708  0.00508157949662
 2.708974235  0.00764699460403
 2.736063977  0.00416751534881
 2.763424617  0.00134311856481
 2.791058863  0.00107788134402
 2.818969452 0.000610430279034
 2.847159146 0.000824487262805
 2.875630738 0.000262756681186
